Year,Average Closing Price
2023,188064
2022,180187
2021,179889
2020,177373
2019,139334
2018,126893
2017,126039
2016,125192
2015,115886
2014,126606
2013,140951
2012,166886
2011,157316
2010,122666
2009,97366
2008,87237
2007,69643
2006,60434
2005,44499
2004,40953
2003,36383
2002,31008
2001,27119
2000,27929
1999,27886
1998,29412
1997,33100
1996,38773
1995,38407
1994,38416
1993,36005
1992,34387
1991,36234
1990,38373
1989,38127
1988,43678
1987,44684
1986,36820
1985,31742
1984,36065
1983,42371
1982,37611
1981,45916
1980,61475
1979,30701
1978,19357
1977,14784
1976,12480
1975,16087
1974,15876
1973,9712
1972,5817
1971,4080
1970,3596
1969,4110
